"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tuba1b",1.35288258634867e-10,-0.602586550410806,0.805,0.904,4.36034057580178e-06
"Fth1",1.71864675399373e-07,-0.217315954678306,0.969,0.989,0.0055391984881218
"Itpr3",1.43431327966959e-05,1.37343158631539,0.367,0.152,0.462279170037508
"Zbtb16",2.66970294082667e-05,-0.589498225458876,0.609,0.775,0.860445257828434
"Xaf1",4.6980100652436e-05,1.08678872954105,0.391,0.18,1
"Cmpk2",6.47531023187654e-05,1.39433362631034,0.305,0.118,1
"Plekhh2",6.91891884802947e-05,-1.02518578444178,0.266,0.466,1
"Ppp2cb",8.16168843817434e-05,-0.328505354750742,0.867,0.933,1
"Lmbr1l",0.000100185036835596,0.672578330760774,0.648,0.461,1
"Slc35e2",0.000121186851788698,0.81312628449866,0.586,0.36,1
"Erf",0.000139865127526624,0.453045554035462,0.906,0.719,1
"Pik3r1",0.000146776600728921,-0.344018050907729,0.875,0.938,1
"Ddx3y",0.000148071964986781,-0.961810852701391,0.211,0.416,1
"Rabgap1",0.000149943185302617,0.491733969164258,0.844,0.624,1
"Tia1",0.000191304461679112,0.714615163757422,0.625,0.41,1
"Brsk2",0.000231090227969801,1.10021651494218,0.273,0.107,1
"Plcg2",0.00028476869402033,2.68259445868177,0.102,0.011,1
"Foxp4",0.00028534303094631,0.418782236587941,0.844,0.736,1
"Crispld1",0.000286723204607785,0.988307731278162,0.359,0.174,1
"Fam57b",0.00028901716393995,0.918454100312342,0.438,0.23,1
"Actr6",0.000302427964305683,1.19041915022045,0.328,0.157,1
"Zkscan16",0.000317128438434226,1.68632473616869,0.172,0.045,1
"Lnx2",0.000322438117073095,-1.06361259343767,0.18,0.365,1
"Hbb-bs",0.000325933012020316,2.07937284450485,0.102,0.011,1
"Eif2ak3",0.000408025392118358,0.676621999991502,0.578,0.393,1
"Gramd1a",0.000432595287101624,0.541225186819702,0.781,0.562,1
"Usp11",0.000438798383564754,0.540828802816052,0.656,0.472,1
"Bcl2l12",0.000479284569525587,0.851121411325604,0.469,0.27,1
"Pcyt1b",0.000515085389353071,2.1069230229014,0.109,0.017,1
"Lims1",0.000520466190048697,-0.345636287509992,0.891,0.91,1
"Sp7",0.000522477101342245,0.782869205885051,0.484,0.27,1
"Lbh",0.000561127154324866,-0.601597675499409,0.617,0.73,1
"Ppp2r5a",0.000616584930760983,-0.528735895219568,0.633,0.713,1
"Gdi1",0.000618563988579932,0.328901623650977,0.938,0.843,1
"Atg16l1",0.000644365030865677,0.731819004578532,0.531,0.36,1
"Ivns1abp",0.000689564364584717,0.489816089274374,0.836,0.624,1
"Lat2",0.000691400598122163,1.93422795282114,0.117,0.022,1
"Mrvi1",0.000697516364703309,-0.875750028875998,0.25,0.433,1
"Rbm38",0.000705581968046086,0.953963572740573,0.312,0.146,1
"Hsp90ab1",0.000741189631337668,0.238074773175899,0.969,0.91,1
"Txnip",0.000769272878973038,-0.232345924239793,0.961,0.978,1
"Ddhd1",0.000776557514731467,0.694451594247346,0.609,0.41,1
"Mfsd11",0.000808759154044169,0.52896417214697,0.617,0.393,1
"Ddb1",0.000811393688664545,0.475566724106404,0.734,0.545,1
"Tmem254a",0.000871121823280486,0.560719021973491,0.594,0.455,1
"Tmem178",0.000992629704101794,-1.78967576034485,0.047,0.169,1
"B2m",0.00103769591479345,-0.391127069255928,0.703,0.798,1
"Crabp2",0.00105498363323872,0.827624380690881,0.477,0.303,1
"Gng11",0.00107006557955365,-0.450265998524508,0.688,0.764,1
"Glis2",0.00113078782711614,0.303103334233146,0.922,0.865,1
"Adar",0.00113727600915923,0.812918420184469,0.492,0.348,1
"Adcy7",0.00116432728468449,0.688842339868976,0.523,0.343,1
"Usp53",0.00121071829195381,0.653093282276648,0.547,0.354,1
"Cep120",0.00121504031824854,0.585976686265267,0.672,0.506,1
"Pik3r2",0.00123328420070505,0.48203298116337,0.734,0.584,1
"Il11ra1",0.00124270708071641,0.652281847196441,0.578,0.382,1
"Tbc1d17",0.00144382871141736,0.551523904073917,0.609,0.438,1
"Ces2g",0.00145410979471463,1.11735581356532,0.234,0.101,1
"Fam111a",0.00146779133491456,1.19736759861274,0.227,0.096,1
"Oasl2",0.00148991755956774,0.758037803142118,0.5,0.326,1
"Ss18",0.00149378960333098,0.338339921256704,0.875,0.758,1
"Tmem254c",0.00150014266599396,0.571515028272126,0.633,0.455,1
"Itprid2",0.00150372542765261,-0.594394624219472,0.453,0.584,1
"Bcs1l",0.00152842732749565,1.29312119099229,0.25,0.118,1
"Hook1",0.00154261731197911,1.25744190905709,0.195,0.073,1
"Ccdc28a",0.00164438126848629,0.498948726114799,0.422,0.225,1
"Blzf1",0.00174365620897225,0.736884113981211,0.484,0.337,1
"Ifit3b",0.00177624042533405,1.43422655900337,0.156,0.051,1
"Eci2",0.00182979384100539,0.429216708967916,0.766,0.618,1
"Lactb2",0.00187489918656649,-0.732933073406294,0.328,0.483,1
"Ddx5",0.00189925193031321,0.145447288320411,1,0.978,1
"Lgi1",0.00202331464347638,-1.89565014787286,0.055,0.169,1
"Cep290",0.0020444401885144,0.858832239816251,0.328,0.174,1
"Ctdnep1",0.00219590695555118,-0.509936884339958,0.578,0.674,1
"Prss35",0.00221764481530777,0.969754160952724,0.297,0.152,1
"Epb41l3",0.0022943366044831,0.567759802011403,0.617,0.438,1
"Cald1",0.00230432751341748,-0.162890366969701,0.977,0.994,1
"Daam2",0.00236079284722886,-0.506485761640321,0.617,0.725,1
"Thbd",0.00239536654267728,0.452317677296675,0.789,0.68,1
"H13",0.00244775739408415,0.32547666732623,0.859,0.747,1
"Dcaf5",0.00246886502844293,0.60660050085297,0.547,0.376,1
"Ccnd2",0.00258078915660722,-0.280137787852931,0.844,0.893,1
"Sod1",0.00262520004044665,0.206080317272332,0.953,0.91,1
"Fgfr1",0.00268499900941443,0.192268159983022,0.969,0.927,1
"Gnl1",0.00272570075505195,0.44083403988191,0.758,0.584,1
"Tbc1d31",0.00278998997784653,1.26243519324828,0.18,0.067,1
"Cited2",0.00283510888344914,-0.448485939414393,0.703,0.803,1
"Eprs",0.00288402428881235,0.452438393336447,0.766,0.596,1
"Zfp131",0.00288890950449494,0.533166238667435,0.656,0.455,1
"Lbp",0.00289698903865534,0.295259795728675,0.828,0.775,1
"Spsb2",0.00293269603431196,0.735404374706365,0.359,0.202,1
"Oas2",0.00294248958989838,2.27302580299249,0.078,0.011,1
"Atmin",0.0029473539739386,-0.712013988081172,0.258,0.433,1
"Sharpin",0.00295033141893296,0.783697240643627,0.359,0.213,1
"Ctsd",0.00296702075538473,0.267721693164815,0.883,0.815,1
"Tpra1",0.0030569511258726,0.683721723868207,0.484,0.337,1
"Zfp932",0.00306238629275102,0.93796227657543,0.258,0.124,1
"Kctd21",0.00306267566732583,1.7069155098385,0.133,0.039,1
"Gdpd1",0.00310152793574723,1.06635351718182,0.258,0.124,1
"Engase",0.00310482700748002,0.997200325863632,0.227,0.101,1
"Sltm",0.00310972692528579,0.419553785268472,0.758,0.522,1
"Nisch",0.00312749830279389,0.13415645360417,1,0.983,1
"Vps26c",0.00313727274794498,0.514383245636718,0.641,0.494,1
"Il20rb",0.00319621506070551,1.56355884845861,0.141,0.045,1
"Sh3d21",0.00320001570392768,-0.959818608769843,0.234,0.371,1
"Psmd1",0.00321487677410469,-0.353047832156028,0.703,0.82,1
"Rangap1",0.00324394802865813,0.877108990138946,0.352,0.208,1
"Wdr60",0.00329060653845175,0.832556002057036,0.289,0.146,1
"Atp6v1b2",0.00329481487497363,0.410749510709312,0.742,0.607,1
"Frrs1l",0.00330393608534338,-1.73832899787245,0.055,0.163,1
"Nedd4l",0.00331303230259112,0.736944094551536,0.391,0.242,1
"Fbxl4",0.00331598521989147,0.762933139902729,0.414,0.253,1
"Rhebl1",0.00336328370123361,0.937081005988762,0.273,0.135,1
"Lgi2",0.0033765255136497,0.60118540706814,0.594,0.461,1
"Enpp1",0.0033886647801052,0.484377800465432,0.688,0.539,1
"Smim40",0.00347255187473509,1.37079953380489,0.164,0.062,1
"Rxrb",0.00349528955112867,0.461018380793485,0.75,0.579,1
"Pls3",0.00351894468775107,-0.297490025547198,0.797,0.871,1
"Sorbs3",0.0035496508221128,0.372435362109296,0.82,0.691,1
"Nol6",0.00357376036397136,0.564873267791422,0.5,0.36,1
"Rassf4",0.00359384842855388,-1.02311433989858,0.094,0.225,1
"Slc22a13",0.00361874393550427,2.80487917971643,0.047,0,1
"Flrt3",0.00362797820417658,0.885505193768897,0.305,0.163,1
"Sfrp2",0.00363237493937367,-1.44676412915539,0.164,0.292,1
"Tbrg4",0.00366316935703841,0.599093299407738,0.445,0.275,1
"Acbd5",0.00366767463801223,0.385390799396839,0.734,0.579,1
"Zbtb43",0.00368988775707469,0.5459346488117,0.469,0.287,1
"Kcnip2",0.00370675326929254,2.41288182806698,0.062,0.006,1
"Gsto1",0.00382574167510012,0.606062108888603,0.562,0.427,1
"Rnf103",0.00385036562693411,0.367665804001552,0.828,0.68,1
"Pigm",0.00392106815543305,0.594290685649905,0.508,0.348,1
"Gpatch4",0.00394408616131957,1.18869351839407,0.227,0.107,1
"Tlcd1",0.00397063555587254,0.660189245498666,0.438,0.264,1
"Gfm1",0.00397332635750256,0.573427414431299,0.516,0.337,1
"Psme2b",0.00399029700110917,0.602999428730518,0.438,0.264,1
"Cdh3",0.00403634225522333,-1.57010335610689,0.023,0.112,1
"Arhgef19",0.00403707013178273,1.26785988551258,0.242,0.124,1
"Ttc5",0.0040854977584368,0.955737055584287,0.219,0.096,1
"Adgrl2",0.00409951802411639,-0.72759080347649,0.352,0.478,1
"Ttc3",0.00410417479754033,0.30521047414855,0.898,0.775,1
"Pptc7",0.00414129668874822,0.562144772221468,0.5,0.326,1
"Mapk14",0.00415144064321109,0.35827832138353,0.773,0.64,1
"Lpcat1",0.00417282682701062,0.489689896470178,0.617,0.455,1
"Elmo1",0.00423046160355167,0.684159894829178,0.422,0.258,1
"Pde5a",0.00433873114941466,-0.239735870232155,0.883,0.933,1
"Egln2",0.00443416979496676,0.484694534328176,0.688,0.539,1
"Phldb2",0.00470102998960296,-0.4085586479407,0.664,0.742,1
"St7",0.00478874666319257,0.597391158573455,0.523,0.354,1
"Gmppa",0.00483508131845365,0.581460308599393,0.547,0.421,1
"Caskin2",0.00483995217444115,0.552190221534066,0.594,0.399,1
"Acad8",0.00487366108617877,0.580919608760172,0.531,0.393,1
"B4galt7",0.00494686485528452,0.650477600972376,0.391,0.236,1
"Map3k11",0.00497474756895291,0.562833972158388,0.391,0.23,1
"Mical2",0.00499656391437536,0.394471464653285,0.734,0.612,1
"Slitrk6",0.00501333724567398,0.939627553255567,0.273,0.14,1
"Kcnip4",0.00503700544365595,-1.46354615768788,0.031,0.124,1
"Dync2li1",0.0051916547784461,-0.608695439422515,0.406,0.534,1
"C9orf72",0.00519805897476822,0.934745430378098,0.273,0.146,1
"Flot2",0.00523452401141828,0.293347594859964,0.836,0.725,1
"Plk2",0.00529042746141137,0.530391936393895,0.609,0.444,1
"Foxd2",0.00532405120274856,0.595859082921268,0.57,0.388,1
"Ctif",0.00539526948610775,0.457615644096379,0.617,0.472,1
"Cox5b",0.00540885861312923,-0.372116789342493,0.703,0.792,1
"AU022252",0.00545800801199066,0.820383131383498,0.383,0.236,1
"Zfp748",0.00546069189492119,0.836615777138153,0.25,0.124,1
"Natd1",0.00549368475134285,0.61730109413875,0.391,0.236,1
"Tmem179b",0.00557694715218748,0.550220134987476,0.43,0.253,1
"Ggnbp1",0.00560267503212291,1.28534144320578,0.141,0.051,1
"Ncoa2",0.00561281726690862,0.442890774713111,0.719,0.596,1
"Ilf2",0.0056634711419179,0.473161539475316,0.656,0.528,1
"Iah1",0.00571370295267037,0.52642242043062,0.633,0.461,1
"Edem3",0.00574171224631249,0.422207171966377,0.719,0.573,1
"Zfp280b",0.00576635318700654,-1.13771647586922,0.109,0.225,1
"Pcdhgb1",0.00577116564172036,1.04121992186271,0.211,0.096,1
"Pithd1",0.00577121407227063,0.524106318753362,0.516,0.36,1
"Mapk1ip1",0.00578342056235784,0.504277737496018,0.578,0.427,1
"Prx",0.00580160252750056,0.579415967700761,0.531,0.343,1
"Ilk",0.00581782504143282,-0.133013180522855,0.969,0.955,1
"Ptcd3",0.00585501494704828,0.45685805798588,0.656,0.483,1
"Shroom2",0.00585828171440666,0.715163091221382,0.367,0.236,1
"Reep1",0.0058618245724637,1.82092248428507,0.094,0.022,1
"Cenpj",0.00589762702507091,1.03052834465604,0.203,0.09,1
"Pwwp2b",0.00590983011544262,0.580478894237233,0.539,0.376,1
"Cdc42bpb",0.00591295380700011,0.226157123412519,0.914,0.848,1
"Smarcc1",0.00596879171029165,0.363604712249739,0.727,0.528,1
"Cbr1",0.00608050391631827,0.6134737392708,0.242,0.112,1
"Mettl7a1",0.00608254306896484,0.453569067946938,0.703,0.551,1
"Inka2",0.00609674957813597,1.50936872825376,0.148,0.056,1
"Hif3a",0.00610510367073297,-0.785975100625423,0.336,0.444,1
"Aga",0.00611967025018959,0.525305937216649,0.562,0.41,1
"Hilpda",0.0061645684965238,0.599430194487987,0.438,0.292,1
"Zswim7",0.00617414629513898,0.941112756630287,0.266,0.14,1
"Yipf6",0.00628897347676381,0.528600499237418,0.547,0.388,1
"Larp6",0.00631009856950892,0.956070661979028,0.219,0.101,1
"Klf2",0.00638021793287387,0.227875944144992,0.898,0.882,1
"Wdr33",0.00638843355635264,0.330993365831163,0.844,0.708,1
"Cotl1",0.00641334646365208,0.425520845528183,0.688,0.556,1
"Hadha",0.00648394865795105,0.321260856166778,0.82,0.674,1
"Pcdh12",0.00653912680461186,-2.62113008827843,0,0.056,1
"Plpp2",0.00654482026050634,0.793875488997179,0.32,0.18,1
"Stxbp1",0.00657453566120687,0.368268476360893,0.773,0.612,1
"Dld",0.0065840268825447,-0.313446812441405,0.711,0.809,1
"Zfp101",0.00660326315326203,0.517961449796636,0.305,0.163,1
"Slc35b1",0.00660655405858249,0.553840486798255,0.492,0.32,1
"Abcb1a",0.00661369109310011,-1.89590075375609,0.016,0.09,1
"Myl12a",0.00664802352648919,-0.275811187121069,0.836,0.921,1
"Cd44",0.00666854968396866,0.551030360328962,0.562,0.41,1
"Ddit4l",0.00680252145852698,-1.22385967115845,0.078,0.185,1
"Zfp811",0.00682722693395712,1.07401746730232,0.148,0.056,1
"Zfp641",0.00717968330014282,1.60397962984619,0.102,0.028,1
"Palmd",0.00722157104297056,1.34450088872737,0.203,0.101,1
"Clk1",0.00725077051850333,0.11766891104035,0.992,0.983,1
"Syp",0.00731516948121827,0.72316482761333,0.289,0.157,1
"Tecpr1",0.00736807774385034,0.508005925886855,0.547,0.393,1
"Abcc9",0.0073741410699861,-0.564588428805537,0.438,0.601,1
"Dusp12",0.00740230874092869,0.732468621978213,0.406,0.27,1
"Cul7",0.00746809329145755,0.358300884036866,0.766,0.607,1
"Caap1",0.00753212987707618,0.651221961197889,0.328,0.18,1
"Cox6b2",0.0075445966545453,0.415859531978695,0.703,0.551,1
"Plxdc2",0.00760103445411866,-0.285403929953845,0.805,0.871,1
"Rheb",0.00761540629247429,-0.211625466247971,0.852,0.876,1
"Sost",0.00761834264092672,-1.42429437139791,0.039,0.129,1
"Bin1",0.00772362540317299,0.450170838456645,0.68,0.534,1
"Nr2f1",0.00773776811605515,-0.478579712860855,0.531,0.657,1
"Slc50a1",0.00780006618603636,0.349083876991053,0.789,0.657,1
"Pabpc1",0.00784921799835831,0.316606554854253,0.844,0.719,1
"Gins3",0.00792053654700357,-1.2281207374236,0.039,0.129,1
"Fancc",0.00793701531669442,0.551881858503892,0.531,0.376,1
"Ubxn7",0.00797319528995099,0.268775590253559,0.852,0.77,1
"Prom1",0.00798322033060232,0.821304407886151,0.242,0.124,1
"Fam83h",0.00801716611742434,-1.20223382960418,0.031,0.118,1
"C1qa",0.00801960472560705,2.26211188354811,0.039,0,1
"Laptm5",0.00801960472560705,1.98325612740245,0.039,0,1
"Tlnrd1",0.00806214519044664,0.673493421766141,0.445,0.303,1
"Faap24",0.00810185604238322,-1.3168886505829,0.047,0.14,1
"Plekhb1",0.0081673770759995,0.817598754371487,0.422,0.292,1
"Nipal3",0.00817311879721672,0.961352659340278,0.242,0.124,1
"Tap2",0.00817930175115977,0.48242946437896,0.562,0.449,1
"Bloc1s3",0.00819643938884169,-1.73535604311263,0.047,0.135,1
"Wdr66",0.00823258620417103,1.24461903279481,0.141,0.051,1
"Slc31a2",0.00826737474627332,0.587131781647603,0.523,0.343,1
"Dlgap1",0.00829126046598072,1.55566235159843,0.109,0.034,1
"Plpp6",0.0083279928495548,0.711697053731727,0.234,0.118,1
"Plp2",0.00833737484521506,0.507791757436237,0.555,0.427,1
"Rbm45",0.00840933009428206,0.620548100742475,0.508,0.371,1
"Minar2",0.00842035160906267,1.82245242518591,0.055,0.006,1
"U2af1l4",0.00846051550615202,2.0511988659856,0.078,0.017,1
"Clstn2",0.00848212143084908,-0.646457504527283,0.305,0.449,1
"Ube2s",0.00851369719275177,0.438681318170091,0.695,0.534,1
"Hba-a2",0.00853863334719227,1.62552682030569,0.055,0.006,1
"Slc39a9",0.00858841565468974,-0.507134543171644,0.469,0.573,1
"Amph",0.00858852499714112,0.983927930978093,0.188,0.084,1
"Usp14",0.00864314489354015,0.425778709072731,0.617,0.438,1
"Cbfb",0.00868811014399992,0.272377856520751,0.883,0.792,1
"Tsc22d3",0.00871317857517099,-0.201239182163181,0.922,0.961,1
"Usp31",0.00874669602747302,0.876309504461515,0.289,0.163,1
"Usp35",0.00874820630488287,1.24394382522339,0.188,0.09,1
"Ccp110",0.00875814721990134,0.678256453458806,0.359,0.213,1
"Jag1",0.00904245076849112,0.410246540243198,0.758,0.624,1
"Slc35g1",0.00906788247889984,0.957980350129265,0.234,0.124,1
"Itsn1",0.00909081788332978,-0.293731759049773,0.797,0.882,1
"Tmem229b",0.00913414174060981,0.88848273639857,0.312,0.185,1
"Usp45",0.00917016502687082,0.574191635028658,0.516,0.354,1
"Snrnp200",0.00921978790356113,-0.294866044826081,0.742,0.798,1
"Slc9a8",0.00928889379646842,0.63244256071421,0.438,0.298,1
"Pygo1",0.00932932232114544,-0.593158164137584,0.391,0.539,1
"Zfp398",0.00934358840991035,0.52262360771825,0.391,0.242,1
"Sema6b",0.00945181050755064,1.00815226483065,0.156,0.062,1
"Dgcr8",0.00946496187018026,-0.640080304215441,0.391,0.489,1
"Safb2",0.0094815437186739,0.310058980703722,0.797,0.674,1
"Lin54",0.00949240245766064,0.806320178297591,0.305,0.169,1
"Nfxl1",0.00951348506531006,0.524104523308794,0.531,0.393,1
"Mfsd14b",0.00951856307426719,-0.256995913279037,0.797,0.871,1
"Eid3",0.00954026587458242,1.14217358907562,0.227,0.124,1
"Smim24",0.00954671439504395,1.41445072430748,0.148,0.062,1
"Txndc16",0.00963644269622162,0.360900284292656,0.711,0.618,1
"Zfp444",0.00965995363837083,0.561802981641255,0.344,0.208,1
"Dcaf11",0.0097263855807019,0.389343717487489,0.727,0.579,1
"Gcc2",0.00982991350704013,0.588609045106042,0.453,0.298,1
"Limch1",0.00986362643603254,0.953699117996195,0.25,0.135,1
"Ankrd33b",0.00986832320133905,0.796422731439995,0.328,0.197,1
"Riok3",0.010006587924897,0.366356972830943,0.75,0.663,1
"Slc6a2",0.0100120134291487,-2.96798283921508,0,0.051,1
"Ndufa3",0.0100278732262613,-0.246484512662186,0.836,0.86,1
"Ctxn1",0.0100690215490032,0.987610939195633,0.234,0.124,1
"Cyp39a1",0.0101184191221353,0.602520918908032,0.414,0.258,1
"Mcph1",0.010158939863392,1.56941046819644,0.133,0.051,1
"Pus7",0.0101593808092756,0.824716800846772,0.258,0.14,1
"Serpina3n",0.0101790394212673,0.682511497425438,0.227,0.112,1
"Strn3",0.0102548421094089,-0.199464516968063,0.891,0.91,1
"Lats2",0.0102591637277263,-0.283225336180098,0.75,0.803,1
"Entpd2",0.0102907266989993,0.495612848740215,0.633,0.489,1
"Cacng5",0.010298286235483,-2.7569333363627,0.008,0.067,1
"Taf6",0.010300866516981,0.590502892871087,0.469,0.32,1
"Fbxw8",0.0103488260838309,0.261831294905517,0.883,0.77,1
"Arhgef10",0.0103549161952181,0.480051437382889,0.602,0.466,1
"Gak",0.0104716492232161,0.397906323990471,0.672,0.517,1
"Ephb3",0.0105043423757916,0.424210357126586,0.711,0.562,1
"Reep4",0.0106476729667066,0.571750203388504,0.445,0.287,1
"Hipk4",0.0106698718550596,1.25805273338764,0.117,0.039,1
"Dcakd",0.0107480345095125,0.397866196333061,0.656,0.511,1
"Mgat4a",0.0107523822570219,0.658890265536981,0.344,0.208,1
"Nmb",0.0108133206587127,1.40406859107581,0.148,0.062,1
"Tjp2",0.0108817246611792,0.48660458903675,0.594,0.455,1
"Tex264",0.010885178991364,-0.412822547768774,0.586,0.663,1
"Cd9",0.0109224933107782,0.223052679787124,0.953,0.882,1
"Taok3",0.0109528752446106,0.488357140856123,0.586,0.416,1
"Bcor",0.011034170111133,0.394181620991081,0.68,0.567,1
"Tsfm",0.011071341372114,0.613113667707994,0.375,0.242,1
"Irf2bp2",0.0110722645359982,-0.118344293625683,0.961,0.972,1
"Trim59",0.0111076805978509,0.896779107114818,0.281,0.163,1
"Herc1",0.0111101160992772,0.371864497472045,0.773,0.618,1
"Pik3c2a",0.0111140273875709,0.412177944842193,0.672,0.511,1
"Nemp1",0.0111322339949887,1.3363243602496,0.148,0.062,1
"Rab5a",0.0111783078280113,0.243398582804833,0.891,0.792,1
"Srsf1",0.0112634125649848,-0.285017813089346,0.758,0.82,1
"Slc38a2",0.0113250170017074,0.26339243570618,0.945,0.803,1
"Zbtb7c",0.0113395862631756,0.658784411413267,0.406,0.27,1
"Kctd2",0.0113717699907049,0.351612295437399,0.695,0.522,1
"Kdm3a",0.0113816900449134,0.402480259770394,0.68,0.522,1
"Ptpn1",0.0114556895557419,0.432921900315501,0.586,0.421,1
"Hras",0.0114911893048266,0.435872888771237,0.602,0.461,1
"Cep72",0.0115591467233014,-1.68887725962779,0.023,0.096,1
"Gask1b",0.0115745003087806,0.397273282923227,0.703,0.579,1
"Wnk2",0.0115871280923816,1.34444899275122,0.125,0.045,1
"St6galnac2",0.0115944446540695,0.526600417934936,0.5,0.337,1
"Ngb",0.0116295425760966,1.19535323041958,0.141,0.056,1
"Vps72",0.0116492887223321,0.422124257598915,0.516,0.365,1
"Sox9",0.0116929332431043,0.37462950424052,0.648,0.472,1
"Vegfa",0.0117217510679477,0.367466386941685,0.703,0.584,1
"Dpagt1",0.0117322580052049,0.573720328097245,0.406,0.258,1
"Zfpm1",0.0117520404386032,0.610254300369432,0.305,0.169,1
"Plekha4",0.0117893670726169,0.331656760631971,0.766,0.68,1
"Pkn1",0.011795258933062,-0.339757522911951,0.68,0.77,1
"Slc8b1",0.0118071052713807,0.397019231294235,0.648,0.489,1
"Shroom3",0.0119165181795167,0.627286199126284,0.273,0.152,1
"Trip10",0.011943617673923,0.322636899822275,0.789,0.702,1
"Dda1",0.0119800019624135,-0.515971355098055,0.406,0.528,1
"Tyk2",0.0120005567632869,0.659258739306228,0.258,0.135,1
"Tap1",0.0120398637982837,0.705430152841067,0.414,0.287,1
"Cars",0.0120586695157296,0.624954708858599,0.484,0.36,1
"Rbm39",0.0121105839711922,0.2888696180126,0.883,0.787,1
"Vldlr",0.0122356306530691,0.730622544536208,0.289,0.163,1
"Zfp382",0.0123262495545492,0.870426029816984,0.281,0.163,1
"Depdc7",0.0123294825474826,2.25188915717318,0.062,0.011,1
"Dnm3",0.0124304345992417,0.807215500061842,0.273,0.152,1
"Mrgprf",0.0124320481420636,0.907245988891846,0.32,0.202,1
"Specc1",0.0124671850565854,-0.838420527086761,0.18,0.298,1
"Got1",0.0124899022162597,0.687315997036379,0.289,0.163,1
"Akr7a5",0.012699483827505,0.472223338007848,0.531,0.388,1
"Fam117a",0.0127420761719865,0.639655736082023,0.391,0.258,1
"Hist1h2bc",0.0127916190583806,0.359346260027134,0.734,0.607,1
"Tbl1x",0.0128300241465503,-0.346825860405281,0.641,0.798,1
"Ypel2",0.0128881940473948,0.501431233030543,0.539,0.399,1
"R3hcc1",0.0129544524403805,0.521142270394932,0.281,0.152,1
"Igf1",0.0129774185835943,-0.533864248022504,0.484,0.573,1
"Aox1",0.0130181946220635,0.41210515573595,0.508,0.343,1
"Loxl3",0.0130426023011992,-0.674699036550813,0.258,0.388,1
"Dennd1c",0.0130900877215677,2.20676952649967,0.062,0.011,1
"Hist1h1c",0.0130900877215677,1.49527829935119,0.062,0.011,1
"Unc45a",0.0131889269167684,0.394000371980116,0.648,0.472,1
"Mrs2",0.0131979059651116,0.689580839105355,0.414,0.287,1
"Dkc1",0.0132316598148398,-0.652575060710007,0.289,0.393,1
"Pdcd7",0.013291297643126,-0.732419698771882,0.289,0.41,1
"Clcf1",0.0133018601238536,1.12140122135725,0.336,0.23,1
"Naprt",0.013305841699328,0.733434372198353,0.289,0.169,1
"Vsir",0.0133085016817905,0.579838590304002,0.531,0.399,1
"Zfp251",0.013309938076269,0.651716690733762,0.422,0.292,1
"Dock6",0.013330257707449,0.251898341201638,0.789,0.73,1
"Kansl2",0.0133312471178949,0.428775644580634,0.648,0.494,1
"Cse1l",0.0133519552242894,0.324080840900179,0.703,0.511,1
"Zfp202",0.0133546726977318,-1.40286726506521,0.031,0.107,1
"Zfp608",0.0133551784159398,-0.709545368897438,0.328,0.427,1
"Ppp6r3",0.0134909975400842,-0.243669491764294,0.812,0.831,1
"Slc35e1",0.013551427702359,0.351311669595142,0.766,0.579,1
"Agfg2",0.0135911826634235,-1.23721971548445,0.094,0.191,1
"Pigb",0.0136057291678955,0.567521633315471,0.383,0.236,1
"Zfp639",0.0136255254659523,0.359148557442747,0.641,0.511,1
"Wnt5a",0.0137181167213861,0.308583252742582,0.836,0.758,1
"Flt3l",0.0137216545204472,0.660722502683413,0.469,0.348,1
"Pip4p2",0.0138910919562949,0.404648663567723,0.633,0.478,1
"Plvap",0.0138918969525703,1.49237518012418,0.062,0.011,1
"Trim67",0.0138918969525703,1.3655688994362,0.062,0.011,1
"Mfap3l",0.0139136432004239,0.742388544392422,0.359,0.225,1
"Scyl1",0.0139568802754222,0.271434806072888,0.891,0.753,1
"Bbc3",0.0140208417847103,0.957835052679589,0.195,0.096,1
"Tcim",0.014075174453818,-0.749193618926012,0.367,0.455,1
"Ttc23",0.0141688257848231,0.467262109047724,0.617,0.466,1
"Msrb1",0.0142154103613278,0.437278667627941,0.609,0.444,1
"Kdm5d",0.0142302023980958,-1.0821579619555,0.086,0.185,1
"Ermp1",0.0143987513759378,0.418795038945673,0.586,0.449,1
"Fads2",0.0144040218165848,0.404266882877272,0.719,0.607,1
"Sept4",0.0144959590532247,-0.720937639876715,0.227,0.354,1
"Rap1gap",0.0146335134584585,-1.02260476267551,0.109,0.213,1
"Kpna3",0.0146554348612477,0.385322832869772,0.648,0.466,1
"Spryd3",0.0146737722658062,0.392547991667483,0.633,0.461,1
"B3galnt1",0.014676656376648,0.570162603218357,0.445,0.315,1
"Slc35a5",0.0146902235812051,0.37685759393669,0.664,0.528,1
"Srsf11",0.0148497733797214,0.27429200803536,0.867,0.798,1
"Plxna3",0.0148966806119939,0.584587063280515,0.398,0.258,1
"Eif2s3y",0.0148973163105395,-0.682961617161186,0.188,0.315,1
"Cdip1",0.0149020174552295,0.30414493453117,0.805,0.708,1
"Trim8",0.014911653277278,0.340009676485412,0.828,0.708,1
"Mtmr14",0.0149651766129992,0.700153010476392,0.328,0.202,1
"Cdan1",0.0149801978506898,0.736339081166102,0.336,0.219,1
"Trp53inp2",0.0149870148945304,0.388945031086133,0.711,0.556,1
