_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-6.087757664095788,GO:0030856,M1,1,0,GO Biological Processes,19,regulation of epithelial cell differentiation,19_GO:0032502 developmental process,-6.087757664095788,6.027631391539668,7.163919894563577,21160,177,238,12,5.042016806722689,1.4183369169751594,12192|12226|12577|12608|14739|17133|19877|21417|22695|24136|93691|114716,Zfp36l1|Btg1|Cdkn1c|Cebpb|S1pr2|Maff|Rock1|Zeb1|Zfp36|Zeb2|Klf7|Spred2,-1.844000523065858,0,1,1,1,-6.087757664095788,8.673908587825373,
1,-2.943089986205911,GO:0045601,M1,1,0,GO Biological Processes,19,regulation of endothelial cell differentiation,19_GO:0032502 developmental process,-2.943089986205911,8.673908587825373,5.245734713566003,21160,41,238,4,1.680672268907563,0.8332445634897452,12226|14739|19877|21417,Btg1|S1pr2|Rock1|Zeb1,-0.5685645649069571,0,1,0,0,-6.087757664095788,8.673908587825373,
1,-5.439870983039644,GO:0006351,M1,1,0,GO Biological Processes,19,DNA-templated transcription,19_GO:0009987 cellular process,-5.439870983039644,3.280721882849081,5.73697759839514,21160,542,238,20,8.403361344537815,1.7983648648858555,12608|13211|13653|14281|14282|16476|16477|16478|16600|19697|20807|21833|72843|83602|93762|106298|192176|217127|330474|544971,Cebpb|Dhx9|Egr1|Fos|Fosb|Jun|Junb|Jund|Klf4|Rela|Srf|Thra|Prdm4|Gtf2a1|Smarca5|Rrn3|Flna|Kat7|Zc3h4|Bdp1,-1.4971438376736956,0,2,1,1,-5.439870983039644,3.8035321080303777,
1,-4.802339778096386,GO:0030099,M1,1,0,GO Biological Processes,19,myeloid cell differentiation,19_GO:0032502 developmental process,-4.802339778096386,3.694220070299588,5.506807426904516,21160,361,238,15,6.302521008403361,1.575188837257579,12577|12608|12703|14281|16476|16477|16590|20807|21833|22695|27060|67490|192176|245944|320910,Cdkn1c|Cebpb|Socs1|Fos|Jun|Junb|Kit|Srf|Thra|Zfp36|Tcirg1|Ufl1|Flna|Vps54|Itgb8,-1.0357038917861188,0,2,0,0,-5.439870983039644,3.8035321080303777,
1,-3.726892634236288,GO:0006366,M1,1,0,GO Biological Processes,19,transcription by RNA polymerase II,19_GO:0009987 cellular process,-3.726892634236288,3.111764705882353,4.547747012192609,21160,400,238,14,5.882352941176471,1.5251852318874457,12608|13653|14281|14282|16476|16477|16478|16600|20807|21833|72843|83602|192176|217127,Cebpb|Egr1|Fos|Fosb|Jun|Junb|Jund|Klf4|Srf|Thra|Prdm4|Gtf2a1|Flna|Kat7,-0.9017687472181979,0,2,0,0,-5.439870983039644,3.8035321080303777,
1,-2.8880168043611354,GO:0002573,M1,1,0,GO Biological Processes,19,myeloid leukocyte differentiation,19_GO:0032502 developmental process,-2.8880168043611354,3.8035321080303777,4.107054898794115,21160,187,238,8,3.361344537815126,1.168270676086418,12703|14281|16476|16477|16590|27060|245944|320910,Socs1|Fos|Jun|Junb|Kit|Tcirg1|Vps54|Itgb8,-0.5415903689121342,0,2,0,0,-5.439870983039644,3.8035321080303777,
1,-2.4103812420081545,GO:0002521,M1,1,0,GO Biological Processes,19,leukocyte differentiation,19_GO:0032502 developmental process,-2.4103812420081545,2.3539680638039333,3.2376051564983106,21160,491,238,13,5.46218487394958,1.4729822030760589,12192|12703|13653|14281|16476|16477|16590|20807|27060|76178|217127|245944|320910,Zfp36l1|Socs1|Egr1|Fos|Jun|Junb|Kit|Srf|Tcirg1|Coa5|Kat7|Vps54|Itgb8,-0.3427153600339058,0,2,0,0,-5.439870983039644,3.8035321080303777,
1,-2.119632420982093,GO:1903131,M1,1,0,GO Biological Processes,19,mononuclear cell differentiation,19_GO:0032502 developmental process,-2.119632420982093,2.3565860078971346,2.9767962578197373,21160,415,238,11,4.621848739495798,1.360955219687614,12192|12703|13653|14281|16476|16590|20807|27060|217127|245944|320910,Zfp36l1|Socs1|Egr1|Fos|Jun|Kit|Srf|Tcirg1|Kat7|Vps54|Itgb8,-0.219334961226269,0,2,0,0,-5.439870983039644,3.8035321080303777,
1,-4.465463800389916,GO:0071407,M1,1,0,GO Biological Processes,19,cellular response to organic cyclic compound,19_GO:0050896 response to stimulus,-4.465463800389916,2.9074762435094517,4.972439632600841,21160,581,238,19,7.983193277310924,1.7568449002344488,12192|12369|12703|13211|13653|14148|14672|15387|15502|16600|18712|22629|22695|52857|66878|68667|99929|192176|245944,Zfp36l1|Casp7|Socs1|Dhx9|Egr1|Fdx1|Gna11|Hnrnpk|Dnaja1|Klf4|Pim1|Ywhah|Zfp36|Gramd1a|Riok3|Trpm4|Tiparp|Flna|Vps54,-0.9180143819629064,0,3,1,1,-4.465463800389916,2.9074762435094517,
1,-2.249693240707278,GO:1901699,M1,1,0,GO Biological Processes,19,cellular response to nitrogen compound,19_GO:0050896 response to stimulus,-2.249693240707278,2.0438520235680477,2.9866390738715665,21160,696,238,16,6.722689075630252,1.623196295873906,12192|12369|13211|13653|14148|14281|14672|15387|16590|16600|19697|20383|66878|68667|192176|234214,Zfp36l1|Casp7|Dhx9|Egr1|Fdx1|Fos|Gna11|Hnrnpk|Kit|Klf4|Rela|Srsf3|Riok3|Trpm4|Flna|Sorbs2,-0.2790685071960373,0,3,0,0,-4.465463800389916,2.9074762435094517,
1,-2.2265737052908925,GO:0071396,M1,1,0,GO Biological Processes,19,cellular response to lipid,19_GO:0050896 response to stimulus,-2.2265737052908925,2.032172869147659,2.9619866284977983,21160,700,238,16,6.722689075630252,1.623196295873906,12192|12227|12369|12608|14148|14281|15387|15502|16600|18712|19697|22629|22695|52857|245944|320472,Zfp36l1|Btg2|Casp7|Cebpb|Fdx1|Fos|Hnrnpk|Dnaja1|Klf4|Pim1|Rela|Ywhah|Zfp36|Gramd1a|Vps54|Ppm1e,-0.27309446720075675,0,3,0,0,-4.465463800389916,2.9074762435094517,
1,-4.43567818324774,mmu04010,M1,1,0,KEGG Pathway,24,MAPK signaling pathway - Mus musculus (house mouse),,-4.43567818324774,3.8655462184873954,5.322429274460354,21160,299,238,13,5.46218487394958,1.4729822030760589,12297|13197|14281|14673|16476|16478|16590|17346|17347|19697|20807|67603|192176,Cacnb3|Gadd45a|Fos|Gna12|Jun|Jund|Kit|Mknk1|Mknk2|Rela|Srf|Dusp6|Flna,-0.9180143819629064,0,4,1,1,-4.43567818324774,13.67808661926309,
1,-4.326125123791754,GO:1902895,M1,1,0,GO Biological Processes,19,positive regulation of miRNA transcription,19_GO:0048518 positive regulation of biological process,-4.326125123791754,9.197334106056216,6.667442403473185,21160,58,238,6,2.5210084033613445,1.0161414845705263,13653|14281|16476|16600|19697|20807,Egr1|Fos|Jun|Klf4|Rela|Srf,-0.9180143819629064,0,4,0,0,-4.43567818324774,13.67808661926309,
1,-4.090930162131057,R-MMU-166166,M1,1,0,Reactome Gene Sets,6,MyD88-independent TLR4 cascade,,-4.090930162131057,6.764705882352941,5.910086837693797,21160,92,238,7,2.9411764705882355,1.0951902640190077,14281|16476|19697|21353|22190|67603|101568,Fos|Jun|Rela|Tank|Ubc|Dusp6|Vrk3,-0.9017741533375186,0,4,0,0,-4.43567818324774,13.67808661926309,
1,-4.090930162131057,R-MMU-937061,M1,1,0,Reactome Gene Sets,6,TRIF (TICAM1)-mediated TLR4 signaling,,-4.090930162131057,6.764705882352941,5.910086837693797,21160,92,238,7,2.9411764705882355,1.0951902640190077,14281|16476|19697|21353|22190|67603|101568,Fos|Jun|Rela|Tank|Ubc|Dusp6|Vrk3,-0.9017741533375186,0,4,0,0,-4.43567818324774,13.67808661926309,
1,-4.0882968796748385,WP493,M1,1,0,WikiPathways,27,Mapk signaling pathway,,-4.0882968796748385,5.032503567464722,5.443619785417519,21160,159,238,9,3.7815126050420167,1.2364414629368305,12369|13197|14281|14673|16476|16478|20807|67603|192176,Casp7|Gadd45a|Fos|Gna12|Jun|Jund|Srf|Dusp6|Flna,-0.9017741533375186,0,4,0,0,-4.43567818324774,13.67808661926309,
1,-4.044789458577885,GO:2000630,M1,1,0,GO Biological Processes,19,positive regulation of miRNA metabolic process,19_GO:0048518 positive regulation of biological process,-4.044789458577885,8.206851971557855,6.20650292147017,21160,65,238,6,2.5210084033613445,1.0161414845705263,13653|14281|16476|16600|19697|20807,Egr1|Fos|Jun|Klf4|Rela|Srf,-0.9017741533375186,0,4,0,0,-4.43567818324774,13.67808661926309,
